"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.479674520E0,2.893873215E0,-1.400295258E0,-4.801927090E0,5.778739721E0
1.499592366E0,3.732191801E0,-2.853079796E0,-7.771633148E0,9.081167422E0
1.519510292E0,5.172433853E0,-2.811644554E0,-6.641541481E0,8.875217761E0
1.539428076E0,6.774092674E0,-2.184553146E0,-3.981564045E0,8.155578229E0
1.559344151E0,7.361896515E0,-2.488554001E0,-3.423135757E0,8.491659421E0
1.579263360E0,5.638904572E0,-3.829621315E0,-5.546904564E0,8.788139418E0
1.599182466E0,3.363759995E0,-4.830758095E0,-7.474007607E0,9.513773950E0
1.619097972E0,2.338827372E0,-5.476655006E0,-6.879358292E0,9.098869932E0
1.639016447E0,2.765656948E0,-5.037874222E0,-4.265991211E0,7.157353983E0
1.658934049E0,2.160438061E0,-4.331784248E0,-2.872154713E0,5.628598412E0
1.678844386E0,-5.052928329E-1,-3.727366447E0,1.952135563E-1,3.766522244E0
1.698764592E0,-3.439204216E0,-4.377195358E0,2.805700064E0,6.233772348E0
1.718687177E0,-5.971310139E0,-4.873056412E0,1.102612972E0,7.785819092E0
1.738605958E0,-8.049846649E0,-4.093112946E0,-3.037877321E0,9.527974773E0
1.758522501E0,-5.410976887E0,-1.001569748E0,-2.769354105E0,6.160449252E0
1.778440244E0,-1.989671707E0,9.788408279E-1,-7.733827829E-1,2.348413038E0
1.798353248E0,1.871529937E0,2.221567154E0,1.819141150E0,3.427427526E0
1.818278946E0,3.327131510E0,3.148440361E0,1.716506600E0,4.891715006E0
1.838189263E0,3.503790379E0,3.379179001E0,2.116940022E0,5.308185452E0
1.858110974E0,1.726376772E0,3.016388893E0,1.601520061E0,3.826727743E0
1.878027680E0,-1.008346081E0,3.160696983E0,1.991652846E0,3.869554018E0
1.897939238E0,-2.950346947E0,4.161811829E0,2.236044407E0,5.570019694E0
1.917863920E0,-4.521463394E0,5.134543896E0,2.695978642E0,7.353602728E0
1.937781012E0,-5.139938354E0,6.191658974E0,2.639489651E0,8.468914497E0
1.957698532E0,-4.531126022E0,7.453376770E0,1.733978391E0,8.893290132E0
1.977616072E0,-3.541069031E0,7.447180271E0,-3.910686970E-1,8.255458715E0
1.997534100E0,-1.654505491E0,5.787692547E0,-4.999364853E0,7.824859256E0
2.017451660E0,1.857733250E0,1.224761009E0,-1.484997559E1,1.501575796E1
2.037369302E0,6.283916473E0,-1.179241753E1,-1.846848869E1,2.279547745E1
2.057286985E0,6.877812862E0,-1.381188393E1,-5.920770645E0,1.652658381E1
2.077196753E0,3.527439117E0,-1.677153587E0,-5.662892342E0,6.879245639E0
2.097114537E0,1.836374998E0,4.334219933E0,-5.678473949E0,7.375825510E0
2.117032362E0,1.773123443E-1,-1.437916756E0,4.055452824E0,4.306476735E0
2.136957144E0,-2.892448902E0,-5.729334831E0,7.788727283E0,1.009236399E1
2.156876902E0,-5.038478374E0,-3.939289093E0,2.339160442E0,6.809987846E0
2.176793222E0,-3.574553490E0,1.645860672E-1,-3.116049767E0,4.744922272E0
2.196709927E0,-5.805794716E0,2.043602943E0,1.606530786E0,6.361171782E0
2.216620997E0,-6.935199738E0,1.236998558E0,2.699997187E0,7.544345276E0
2.236539432E0,-5.640830517E0,-1.519050598E-1,1.919358253E0,5.960367453E0
2.256463707E0,-3.284682751E0,-4.273157120E-1,1.006161094E0,3.461805835E0
2.276377788E0,-9.294991493E-1,-5.312643051E-1,9.784509540E-1,1.450371228E0
2.296292215E0,2.669791698E0,-4.832353592E-1,2.202357054E0,3.494521529E0
2.316214414E0,4.782226086E0,2.130527496E-1,1.623358965E0,5.054737593E0
2.336120032E0,4.748958588E0,1.800539017E0,-1.298612595E0,5.242226921E0
2.356042964E0,4.199928284E0,2.805957794E0,-4.549386978E0,6.797773062E0
2.375957594E0,4.117817879E0,2.337714195E0,-5.818717957E0,7.501920447E0
2.395882682E0,3.258234262E0,9.812765121E-1,-5.246177673E0,6.253109169E0
2.415802786E0,1.514478207E0,-9.715938568E-2,-4.001634598E0,4.279738735E0
2.435722665E0,5.212014914E-1,-3.446779251E-1,-3.661945820E0,3.714875645E0
2.455633309E0,4.746660590E-1,-3.239250183E-2,-3.956781387E0,3.985282435E0
