"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.370105354E0,7.549822330E-2,3.644719720E-2,-2.239513397E-2,8.677512277E-2
1.390022143E0,6.956374645E-2,3.183445334E-2,-3.850650787E-2,8.564635654E-2
1.409938363E0,6.034111977E-2,4.316237569E-2,-5.026435852E-2,8.961332014E-2
1.429855152E0,6.662595272E-2,4.572725296E-2,-4.374790192E-2,9.189057711E-2
1.449771779E0,5.266952515E-2,3.719455004E-2,-1.972293854E-2,6.742779647E-2
1.469675059E0,5.008792877E-2,3.276637197E-2,1.241397858E-2,6.112726564E-2
1.489591482E0,5.763387680E-2,3.556132317E-2,2.541542053E-3,6.776969010E-2
1.509522513E0,7.183921337E-2,4.834750295E-2,-1.548290253E-2,8.796632247E-2
1.529439098E0,7.883596420E-2,3.998002410E-2,-4.329204559E-2,9.842617940E-2
1.549359346E0,5.683946609E-2,3.624314070E-2,-4.072856903E-2,7.875980249E-2
1.569274264E0,5.702316761E-2,4.576939344E-2,-4.492282867E-2,8.581689552E-2
1.589190320E0,4.805636406E-2,4.354912043E-2,-3.752803802E-2,7.492859037E-2
1.609109022E0,6.220817566E-2,2.969273925E-2,-3.421974182E-2,7.695782360E-2
1.629022841E0,6.643497944E-2,3.348398209E-2,-2.526760101E-2,7.856993834E-2
1.648940770E0,6.370234489E-2,3.466379642E-2,-2.377128601E-2,7.631933940E-2
1.668857559E0,7.344329357E-2,5.222705007E-2,-2.132511139E-2,9.260854445E-2
1.688774429E0,6.247270107E-2,3.965082765E-2,-3.154087067E-2,8.043539665E-2
1.708684505E0,6.115317345E-2,4.823756218E-2,-4.618549347E-2,9.055204489E-2
1.728608008E0,6.654822826E-2,3.670796752E-2,-3.441429138E-2,8.342952125E-2
1.748524716E0,6.754755974E-2,3.776812553E-2,-1.960563660E-2,7.983411000E-2
1.768440081E0,5.813705921E-2,3.083217144E-2,-3.073024750E-2,7.262842805E-2
1.788358498E0,6.274485588E-2,3.677618504E-2,-2.150917053E-2,7.584226488E-2
1.808274758E0,5.161142349E-2,3.321915865E-2,-3.424072266E-2,7.028284730E-2
1.828190082E0,6.267464161E-2,3.168553114E-2,-3.207111359E-2,7.720518060E-2
1.848107319E0,7.792544365E-2,4.041898251E-2,-2.749156952E-2,9.198834333E-2
1.868009745E0,7.724261284E-2,4.286348820E-2,-2.493572235E-2,9.179046850E-2
1.887941833E0,6.093645096E-2,2.976724505E-2,-2.188873291E-2,7.126329042E-2
1.907843405E0,5.564844608E-2,2.860060334E-2,-2.064418793E-2,6.588570830E-2
1.927775209E0,5.251550674E-2,3.365653753E-2,-1.083946228E-2,6.330983265E-2
1.947692080E0,4.563665390E-2,4.228004813E-2,-3.623867035E-2,7.199686019E-2
1.967593610E0,6.046116352E-2,4.523068666E-2,-3.175735474E-2,8.191396029E-2
1.987510400E0,5.990600586E-2,3.918814659E-2,-3.139400482E-2,7.816664193E-2
2.007442488E0,5.889463425E-2,4.059851170E-2,-3.787612915E-2,8.094083181E-2
2.027357731E0,7.434570789E-2,3.837069869E-2,-3.360652924E-2,9.016093171E-2
2.047275985E0,6.486380100E-2,2.445924282E-2,-3.240680695E-2,7.652299247E-2
2.067192612E0,6.416761875E-2,1.988759637E-2,-1.792907715E-2,6.953022072E-2
2.087108099E0,6.524634361E-2,3.790003061E-2,-6.383895874E-3,7.572484270E-2
2.107024848E0,6.398499012E-2,6.804189086E-2,-1.194477081E-2,9.416185758E-2
2.126942817E0,6.593143940E-2,6.447914243E-2,-3.205966949E-2,9.763368741E-2
2.146859606E0,6.480121613E-2,5.405122042E-2,-2.723026276E-2,8.866915613E-2
2.166776355E0,8.017611504E-2,4.399195313E-2,-3.711986542E-2,9.869845881E-2
2.186693266E0,9.759068489E-2,3.356051445E-2,-2.351093292E-2,1.058442907E-1
2.206594634E0,8.591413498E-2,2.554473281E-2,-3.212451935E-2,9.521426735E-2
2.226511545E0,7.573199272E-2,1.818177104E-2,-3.588676453E-2,8.575413336E-2
2.246443552E0,6.697905064E-2,2.895832062E-2,-2.898311615E-2,7.851623131E-2
2.266365590E0,5.296635628E-2,4.188594222E-2,-2.627468109E-2,7.245844271E-2
2.286277171E0,4.613661766E-2,4.710733891E-2,-1.192855835E-2,6.700730835E-2
2.306193920E0,3.817498684E-2,5.170330405E-2,-2.363491058E-2,6.847751652E-2
2.326110221E0,3.557276726E-2,6.600874662E-2,-3.244590759E-2,8.170259066E-2
2.346025789E0,4.044532776E-2,4.887714982E-2,-3.200054169E-2,7.105515450E-2
2.365944003E0,4.174864292E-2,4.283311963E-2,-3.185367584E-2,6.776637800E-2
2.385860629E0,5.043673515E-2,2.341043949E-2,-2.773094177E-2,6.213628619E-2
2.405776035E0,5.784702301E-2,2.617087960E-2,-2.758693695E-2,6.922594962E-2
2.425694248E0,5.402815342E-2,2.480745316E-2,-3.507995605E-2,6.902937354E-2
2.445611241E0,7.129859924E-2,2.267003059E-2,-3.411483765E-2,8.222677598E-2
2.465527664E0,6.923902035E-2,1.594963670E-2,-2.167701721E-2,7.428543548E-2
2.485444779E0,7.442831993E-2,2.438312769E-2,-1.753425598E-2,8.025934124E-2
2.505348018E0,6.529104710E-2,3.623619676E-2,-2.816295624E-2,7.980685992E-2
2.525278439E0,6.712698936E-2,4.640534520E-2,-3.261852264E-2,8.788319967E-2
2.545194984E0,5.951702595E-2,4.652789235E-2,-2.655506134E-2,8.007679081E-2
2.565111325E0,6.537461281E-2,4.716619849E-2,-1.813316345E-2,8.262748875E-2
2.585027830E0,6.054317951E-2,2.374774218E-2,-3.118610382E-2,7.212492576E-2
2.604943398E0,7.044458389E-2,1.755782962E-2,-3.984928131E-2,8.281716007E-2
2.624861978E0,7.165777683E-2,3.092205524E-2,-4.427051544E-2,8.972674639E-2
2.644778441E0,7.277739048E-2,4.864460230E-2,-3.224182129E-2,9.328655282E-2
2.664693807E0,6.067764759E-2,2.940100431E-2,-1.751327515E-2,6.966283642E-2
2.684612345E0,3.706443310E-2,4.310578108E-2,-2.655029297E-3,5.691159586E-2
2.704513469E0,4.089951515E-2,4.459217191E-2,-1.870441437E-2,6.333314497E-2
2.724444256E0,4.548895359E-2,4.896545410E-2,-3.362464905E-2,7.481629246E-2
2.744365480E0,5.130445957E-2,1.974841952E-2,-4.159832001E-2,6.893887055E-2
2.764279787E0,5.936491489E-2,2.431139350E-2,-3.626060486E-2,7.368899809E-2
2.784196088E0,7.871448994E-2,3.483045101E-2,-3.575038910E-2,9.320526575E-2
2.804112999E0,7.186806202E-2,3.023177385E-2,-4.167556763E-2,8.840719103E-2
2.824005659E0,6.733787060E-2,2.525773644E-2,-3.423881531E-2,7.965323936E-2
2.843946293E0,6.221199036E-2,2.575665712E-2,-3.347015381E-2,7.519300716E-2
2.863863123E0,7.157945633E-2,2.677804232E-2,-1.949691772E-2,7.887212384E-2
2.883779668E0,6.648552418E-2,7.570922375E-3,-1.668357849E-2,6.896365407E-2
2.903696417E0,6.794500351E-2,1.914876699E-2,-1.041984558E-2,7.135665324E-2
2.923597784E0,6.954967976E-2,3.948009014E-2,-3.276920319E-2,8.642717252E-2
2.943511359E0,6.445920467E-2,6.091076136E-2,-4.456996918E-2,9.925518661E-2
2.963442227E0,4.763531685E-2,5.153816938E-2,-3.283214569E-2,7.748068214E-2
2.983362149E0,4.319691658E-2,4.629945755E-2,-2.776718140E-2,6.914209813E-2
3.003281095E0,4.778730869E-2,4.190775752E-2,-2.401447296E-2,6.794543343E-2
3.023189055E0,5.763113499E-2,4.400023818E-2,-2.941226959E-2,7.824608797E-2
3.043113575E0,5.683279037E-2,2.495479584E-2,-3.359317780E-2,7.057768409E-2
3.063030079E0,6.135487556E-2,2.136871219E-2,-2.656459808E-2,7.019060113E-2
3.082947398E0,6.091809273E-2,1.582640409E-2,-2.946949005E-2,6.949776926E-2
3.102864065E0,5.806243420E-2,2.393570542E-2,-1.886558533E-2,6.557495382E-2
3.122769786E0,5.807828903E-2,2.470180392E-2,-1.673316956E-2,6.529368834E-2
3.142697602E0,6.611716747E-2,4.441389441E-2,-2.669715881E-2,8.400483403E-2
3.162614310E0,7.323086262E-2,2.287524939E-2,-3.607845306E-2,8.478025153E-2
3.182531384E0,6.816744804E-2,1.913934946E-2,-4.232120514E-2,8.248757528E-2
3.202442477E0,7.595026493E-2,2.256906033E-2,-4.865741730E-2,9.298037150E-2
3.222369968E0,7.615315914E-2,4.608246684E-2,-4.199314117E-2,9.841911046E-2
3.242280084E0,7.509720325E-2,3.192818165E-2,-2.596950531E-2,8.563535442E-2
3.262210382E0,5.493688583E-2,3.076583147E-2,-1.838302612E-2,6.559369985E-2
3.282114883E0,3.562438488E-2,3.397816420E-2,-3.627777100E-3,4.936368308E-2
3.302030329E0,4.684197903E-2,4.192242026E-2,-2.660655975E-2,6.826103824E-2
3.321946834E0,4.913616180E-2,2.533820271E-2,-3.943347931E-2,6.790718816E-2
3.341863664E0,5.036091805E-2,2.972969413E-2,-4.756736755E-2,7.538389241E-2
3.361780372E0,6.780982018E-2,3.717839718E-2,-4.084873199E-2,8.745869788E-2
3.381697201E0,7.264089584E-2,3.725272417E-2,-4.845046997E-2,9.493109737E-2
3.401613991E0,6.776106358E-2,3.008189797E-2,-3.516674042E-2,8.205596843E-2
3.421530861E0,5.897939205E-2,3.191989660E-2,-1.991558075E-2,6.995769323E-2
3.441447528E0,6.412947178E-2,3.472331166E-2,-2.672100067E-2,7.766794320E-2
3.461364521E0,6.149160862E-2,2.869874239E-2,-1.957035065E-2,7.062460173E-2
3.481281880E0,6.117069721E-2,1.978549361E-2,-2.042293549E-2,6.745677319E-2
3.501197774E0,6.391012669E-2,4.467746615E-2,-3.752136230E-2,8.653573195E-2
3.521115052E0,6.765246391E-2,5.488309264E-2,-4.209327698E-2,9.675150489E-2
3.541033753E0,5.248904228E-2,3.712078929E-2,-3.260612488E-2,7.208475523E-2
3.560948182E0,4.267442226E-2,1.511201262E-2,-1.999664307E-2,4.949085749E-2
3.580864850E0,4.462575912E-2,1.911595464E-2,-1.979923248E-2,5.242983603E-2
3.600768943E0,5.063569546E-2,3.618538380E-2,-3.273010254E-2,7.031795835E-2
3.620684512E0,3.777849674E-2,2.289685607E-2,-4.195785522E-2,6.092571254E-2
3.640615095E0,5.182063580E-2,2.355304360E-2,-3.491497040E-2,6.677708675E-2
3.660531966E0,6.020843983E-2,2.030348778E-2,-3.393173218E-2,7.203228645E-2
3.680448633E0,6.714999676E-2,2.456736565E-2,-2.688217163E-2,7.638932302E-2
3.700367335E0,7.210409641E-2,1.899105310E-2,-1.996612549E-2,7.719007050E-2
3.720282944E0,6.782996655E-2,2.685794234E-2,-2.906131744E-2,7.852906214E-2
3.740199082E0,5.539643764E-2,1.696786284E-2,-2.975845337E-2,6.513247439E-2
3.760116034E0,4.819929600E-2,9.793907404E-3,-3.980827332E-2,6.327551960E-2
3.780034492E0,7.018494606E-2,4.092901945E-2,-4.753684998E-2,9.413215918E-2
3.799949490E0,8.325195312E-2,5.705359578E-2,-3.385353088E-2,1.064521585E-1
3.819865913E0,5.554914474E-2,2.615442872E-2,-1.366806030E-2,6.290133143E-2
3.839782703E0,3.615128994E-2,2.562186122E-2,5.359649658E-4,4.431346065E-2
3.859699533E0,3.432345390E-2,3.443184495E-2,-1.318359375E-2,5.037319306E-2
3.879616281E0,4.575955868E-2,3.384861350E-2,-2.943515778E-2,6.407881366E-2
3.899517445E0,4.599511623E-2,3.571581841E-2,-2.901077271E-2,6.505993648E-2
3.919450063E0,6.295800209E-2,3.606998920E-2,-3.784084320E-2,8.183326685E-2
3.939353547E0,7.304239273E-2,3.228315711E-2,-5.608177185E-2,9.758359751E-2
3.959270539E0,6.230020523E-2,2.122566104E-2,-4.477691650E-2,7.960412370E-2
3.979202058E0,5.972278118E-2,2.353894711E-2,-1.523780823E-2,6.597790102E-2
3.999109652E0,5.303168297E-2,1.183876395E-2,-1.531314850E-2,5.645359375E-2
4.023993767E0,4.792881012E-2,2.368575335E-2,-2.598762512E-2,5.944360698E-2
4.043931675E0,5.421006680E-2,2.804252505E-2,-2.854537964E-2,6.737917521E-2
4.063848545E0,6.474339962E-2,3.163781762E-2,-2.737617493E-2,7.708511044E-2
4.083765538E0,6.753468513E-2,4.508978128E-2,-2.731037140E-2,8.567309063E-2
4.103682327E0,5.141377449E-2,4.821002483E-2,-2.727603912E-2,7.557489671E-2
4.123598791E0,5.753719807E-2,2.929434180E-2,-3.312778473E-2,7.256815930E-2
4.143515702E0,5.869269371E-2,2.575796843E-2,-2.354335785E-2,6.828319655E-2
4.163432491E0,6.939184666E-2,3.138828278E-2,-3.299617767E-2,8.300120734E-2
4.183345456E0,7.399892807E-2,2.859720588E-2,-3.536224365E-2,8.685695030E-2
4.203264686E0,6.272149086E-2,2.241256833E-2,-3.432083130E-2,7.492815289E-2
4.223189939E0,5.163884163E-2,1.281672716E-2,-3.317832947E-2,6.270279106E-2
4.243102781E0,5.387413502E-2,1.491209865E-2,-2.617645264E-2,6.172519569E-2
4.263015664E0,5.848181248E-2,2.290895581E-2,-2.503299713E-2,6.761356071E-2
4.282933145E0,6.674373150E-2,3.455892205E-2,-1.428890228E-2,7.650632337E-2
4.302849812E0,6.204319000E-2,2.622145414E-2,-1.307010651E-2,6.861304371E-2
4.322754680E0,5.400156975E-2,3.752976656E-3,-3.439903259E-2,6.413694577E-2
4.342669394E0,6.027805805E-2,1.542934775E-2,-5.234241486E-2,8.130951634E-2
4.362600139E0,7.885968685E-2,5.496793985E-2,-5.371284485E-2,1.101153682E-1
4.382516888E0,6.980991364E-2,5.379247665E-2,-3.017807007E-2,9.315455168E-2
4.402433637E0,4.413950443E-2,2.742466331E-2,-6.322860718E-4,5.196929665E-2
4.422345543E0,2.005648613E-2,1.549366117E-2,7.720947266E-3,2.649394646E-2
4.442267052E0,3.256118298E-2,2.072590590E-2,-2.779006958E-2,4.756134753E-2
4.462191532E0,4.604458809E-2,2.216726542E-2,-3.584957123E-2,6.242342113E-2
4.482101689E0,5.869090557E-2,2.759072185E-2,-4.774951935E-2,8.053500436E-2
4.502016199E0,6.525254250E-2,2.555498481E-2,-5.139636993E-2,8.690534157E-2
4.521937708E0,6.748688221E-2,2.220004797E-2,-4.924774170E-2,8.644455716E-2
4.541849696E0,6.234920025E-2,1.321437955E-2,-3.153705597E-2,7.110997467E-2
4.561766404E0,6.470012665E-2,6.097942591E-3,-2.593326569E-2,6.997017623E-2
4.581683153E0,6.117212772E-2,2.161371708E-2,-2.026271820E-2,6.796881436E-2
4.601599983E0,5.862450600E-2,1.795691252E-2,-2.883148193E-2,6.775350737E-2
4.621516487E0,6.186211109E-2,1.911491156E-2,-2.792358398E-2,7.051260295E-2
4.641433276E0,6.187570095E-2,3.854835033E-2,-3.055667877E-2,7.904611502E-2
4.661345142E0,5.044138432E-2,4.402497411E-2,-3.437423706E-2,7.526034660E-2
4.681266936E0,5.207264423E-2,4.195791483E-2,-4.163360596E-2,7.877426000E-2
4.701183725E0,4.955625534E-2,3.175309300E-2,-3.226375580E-2,6.711952992E-2
4.721102997E0,5.027210712E-2,2.102464437E-2,-1.698398590E-2,5.707693232E-2
4.741018077E0,5.343890190E-2,1.928171515E-2,-2.808856964E-2,6.337561455E-2
4.760917369E0,5.289697647E-2,1.017805934E-2,-3.433704376E-2,6.388047891E-2
4.780850882E0,4.996585846E-2,1.553708315E-2,-4.187297821E-2,6.701741765E-2
4.800754122E0,5.864965916E-2,1.249897480E-2,-4.106426239E-2,7.267929923E-2
4.820684623E0,5.126273632E-2,1.543596387E-2,-2.724742889E-2,6.007128679E-2
4.840601128E0,6.521165371E-2,1.208394766E-2,-1.329135895E-2,6.764053366E-2
4.860518080E0,5.006349087E-2,1.963368058E-2,-2.215576172E-2,5.816108930E-2
4.880434828E0,4.344773293E-2,2.853909135E-2,-4.409503937E-2,6.816566385E-2
4.900343886E0,4.471826553E-2,2.910187840E-2,-3.013992310E-2,6.127852449E-2
4.920268122E0,4.715907574E-2,2.142921090E-2,-2.695655823E-2,5.839388269E-2
4.940184911E0,5.716502666E-2,3.364825249E-2,-4.524612427E-2,8.029481260E-2
4.960103654E0,6.192445755E-2,4.931089282E-2,-4.099369049E-2,8.914418239E-2
4.980018774E0,5.982732773E-2,2.191111445E-2,-3.548526764E-2,7.292880295E-2
4.999935279E0,4.437398911E-2,1.077499986E-2,-1.395225525E-3,4.568476973E-2
5.019848813E0,3.870284557E-2,2.403333783E-2,-7.825851440E-3,4.622505309E-2
5.039768979E0,5.747389793E-2,5.030256510E-2,-2.240562439E-2,7.959653889E-2
5.059671731E0,5.440855026E-2,3.399986029E-2,-3.185558319E-2,7.163141086E-2
5.079602558E0,4.891526699E-2,3.220883012E-2,-2.830219269E-2,6.504710749E-2
5.099519022E0,6.274926662E-2,2.147546411E-2,-4.981899261E-2,8.294937037E-2
5.119436014E0,6.332170963E-2,2.029097080E-2,-5.701446533E-2,8.759002034E-2
5.139346619E0,5.522036552E-2,2.005499601E-2,-4.188728333E-2,7.215286646E-2
5.159270162E0,5.907869339E-2,1.591780782E-2,-2.430057526E-2,6.583453939E-2
5.179186748E0,5.330359936E-2,1.670938730E-2,-1.877784729E-2,5.893288452E-2
5.199109112E0,5.675327778E-2,1.728877425E-2,-2.393054962E-2,6.397270870E-2
5.219020164E0,5.754721165E-2,1.899325848E-2,-3.279972076E-2,6.890752585E-2
5.238938052E0,6.005501747E-2,3.655320406E-2,-3.081893921E-2,7.676293939E-2
5.258839623E0,5.036199093E-2,4.622709751E-2,-3.833580017E-2,7.837670731E-2
5.278771671E0,4.885923862E-2,4.277494550E-2,-3.372097015E-2,7.317120328E-2
5.298688379E0,5.058991909E-2,3.454804420E-2,-3.761196136E-2,7.188579074E-2
5.318589828E0,4.964220524E-2,2.048739791E-2,-2.596092224E-2,5.964940484E-2
