"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.478838398E0,-5.679685593E0,2.857157230E0,-5.770553589E0,8.586120462E0
1.498764445E0,-2.880747080E0,8.689227104E0,-7.853467464E0,1.206143949E1
1.518680603E0,-1.854828477E0,1.331088448E1,-9.478656769E0,1.644581918E1
1.538585978E0,-1.421453357E0,1.692690468E1,-1.575117016E1,2.316549143E1
1.558507691E0,-1.745428920E0,1.672507095E1,-1.753223991E1,2.429308455E1
1.578432476E0,-2.959447622E0,1.415402985E1,-1.271115780E1,1.925275107E1
1.598349470E0,-2.610772848E0,1.193447876E1,-4.735399246E0,1.310236330E1
1.618259830E0,8.834175110E0,1.167321873E1,2.642014885E1,3.020481668E1
1.638178105E0,1.524561691E1,4.329681396E-4,4.073693848E1,4.349628710E1
1.658104211E0,2.627570152E0,1.231073856E0,-1.099505615E1,1.137149628E1
1.678016261E0,-3.232173681E0,5.509146214E0,-1.857672119E1,1.964413930E1
1.697934250E0,6.293648720E0,-2.268619537E-1,-1.598115253E1,1.717727327E1
1.717851528E0,1.226373672E1,-6.075683594E0,-1.653088188E1,2.146120279E1
1.737768561E0,8.547868729E0,-7.307065964E0,-9.597714424E0,1.478429555E1
1.757685676E0,9.612949371E0,-1.904208755E1,-1.014825344E1,2.362195889E1
1.777594917E0,1.028363037E1,-3.099327278E1,2.739984989E-1,3.265595025E1
1.797519824E0,9.173480034E0,-2.063741875E1,3.733141708E1,4.363130172E1
1.817436776E0,6.207752228E-1,-9.211011887E0,1.434688759E1,1.706051832E1
1.837353789E0,-3.606295586E-2,-4.257393837E0,1.773620224E1,1.824005408E1
1.857273813E0,1.134394884E0,1.289393425E0,1.869303894E1,1.877176316E1
1.877188303E0,1.397677660E0,6.094304562E0,1.157130241E1,1.315253171E1
1.897114797E0,-1.580200195E0,5.533174992E0,1.658628845E1,1.755613918E1
1.917021230E0,-8.475682259E0,2.400906086E0,1.614800262E1,1.839455160E1
1.936937349E0,-1.222434998E1,9.470367432E-2,9.897763252E0,1.572925359E1
1.956857027E0,-8.542272568E0,1.665949345E0,6.080894470E0,1.061711286E1
1.976767061E0,-6.823899269E0,3.685334206E0,2.858957291E0,8.265647357E0
1.996681368E0,-6.759366512E0,5.377175331E0,1.808504105E0,8.824609753E0
2.016599317E0,-5.736134529E0,4.112708092E0,2.577735901E0,7.514141971E0
2.036523166E0,-4.041613579E0,-6.546487808E-1,3.398581743E0,5.321049071E0
2.056440220E0,9.065855026E0,-1.778405952E1,8.688470840E0,2.177043927E1
2.076350316E0,4.006740952E1,-3.394380188E1,1.182566547E1,5.382773779E1
2.096264114E0,2.372231483E1,-2.218990707E1,1.406384182E1,3.539677731E1
2.116192988E0,1.375177383E1,-9.351285934E0,2.110140324E-1,1.663136672E1
2.136107520E0,3.349942684E0,-2.390250206E0,-4.701420307E0,6.248100907E0
2.156025875E0,-5.771796703E0,-2.454853058E-2,-4.247196674E0,7.166095130E0
2.175944841E0,-6.122125149E0,2.964177608E0,-6.350419044E0,9.305621273E0
2.195858721E0,-3.069617748E0,8.743972778E0,-7.937973976E0,1.220209178E1
2.215776385E0,-2.173812151E0,1.380167389E1,-9.328351974E0,1.679969678E1
2.235693480E0,-3.046975613E0,1.776342773E1,-1.135739517E1,2.130290709E1
2.255609821E0,-2.623615503E0,1.590185928E1,-1.739637566E1,2.371468686E1
